"","true_value","reported_outbreak_bins","est_05","est_10","est_15","est_20","est_25","est_50"
"1",0.25,"10-99","1787 (44.67%)","624 (15.6%)","151 (3.78%)","27 (0.68%)","4 (0.1%)","0"
"2",0.25,"100-499","183 (4.58%)","0","0","0","0","0"
"3",0.25,"500-999","5 (0.12%)","0","0","0","0","0"
"4",0.25,"1000+","1 (0.03%)","0","0","0","0","0"
"5",0.5,"10-99","1890 (47.25%)","570 (14.25%)","140 (3.5%)","22 (0.55%)","2 (0.05%)","0"
"6",0.5,"100-499","1019 (25.47%)","101 (2.53%)","2 (0.05%)","0","0","0"
"7",0.5,"500-999","95 (2.38%)","0","0","0","0","0"
"8",0.5,"1000+","0","0","0","0","0","0"
"9",0.75,"10-99","1600 (40%)","425 (10.62%)","165 (4.12%)","58 (1.45%)","21 (0.52%)","1 (0.03%)"
"10",0.75,"100-499","933 (23.33%)","110 (2.75%)","9 (0.22%)","0","0","0"
"11",0.75,"500-999","12 (0.3%)","0","0","0","0","0"
"12",0.75,"1000+","8 (0.2%)","0","0","0","0","0"
