"","true_value","reported_outbreak_bins","est_05","est_10","est_15","est_20"
"1",0.25,"10-99","2154 (53.8%)","3417 (85.4%)","3897 (97.4%)","3996 (99.9%)"
"2",0.25,"100-499","3444 (86.1%)","3955 (98.9%)","3998 (100%)","4000"
"3",0.25,"500-999","4000","4000","4000","4000"
"4",0.25,"1000+","3997 (99.9%)","4000","4000","4000"
"5",0.5,"10-99","2084 (52.1%)","3484 (87.1%)","3895 (97.4%)","3983 (99.6%)"
"6",0.5,"100-499","3060 (76.5%)","3941 (98.5%)","4000","4000"
"7",0.5,"500-999","3942 (98.6%)","4000","4000","4000"
"8",0.5,"1000+","4000","4000","4000","4000"
"9",0.75,"10-99","1938 (48.4%)","2851 (71.3%)","3319 (83%)","3712 (92.8%)"
"10",0.75,"100-499","3053 (76.3%)","3934 (98.4%)","3997 (99.9%)","4000"
"11",0.75,"1000+","3999 (100%)","4000","4000","4000"
